,row,col,cost,specie 0,specie 1,specie 2,specie 3,specie 4,specie 5,specie 6,specie 7,specie 8,specie 9,specie 10,specie 11,specie 12,specie 13,specie 14
0,0,0,11,0,0,2,9,0,0,0,0,4,0,0,4,0,0,2
1,0,1,10,0,0,7,8,0,0,0,1,1,0,0,7,0,0,10
2,0,2,8,0,0,17,14,0,0,0,0,7,0,0,14,0,0,6
3,0,3,8,0,0,8,6,2,0,0,0,13,0,0,27,0,0,4
4,0,4,10,0,0,7,2,2,0,0,0,20,0,1,32,0,0,0
5,0,5,12,3,0,6,3,1,0,0,0,14,0,4,13,0,0,0
6,0,6,12,14,0,11,2,0,0,0,0,13,0,10,1,1,0,0
7,0,7,10,11,0,17,8,0,0,0,0,6,0,16,0,8,0,0
8,0,8,8,4,0,26,7,0,0,0,0,3,0,19,0,3,0,1
9,0,9,5,2,0,6,11,0,0,0,0,5,0,11,0,1,0,0
10,1,0,12,0,0,2,12,0,0,0,1,15,0,0,0,0,0,10
11,1,1,12,0,0,4,18,2,0,0,2,0,0,0,2,0,0,18
12,1,2,10,0,0,10,21,8,0,0,8,2,0,0,10,0,1,14
13,1,3,7,0,0,10,8,3,0,0,13,3,0,0,17,0,0,7
14,1,4,9,1,0,7,4,3,0,1,2,15,1,1,14,0,0,1
15,1,5,10,7,0,2,3,1,0,0,2,15,0,2,5,1,0,0
16,1,6,10,6,0,6,6,0,0,0,0,11,0,4,1,7,0,1
17,1,7,10,9,0,8,11,0,0,0,0,2,0,6,0,14,0,0
18,1,8,7,5,0,9,22,0,0,0,0,8,0,10,0,6,0,1
19,1,9,4,2,0,4,24,0,0,0,0,11,0,6,0,5,0,0
20,2,0,11,0,0,0,13,3,0,0,1,18,0,0,0,0,2,11
21,2,1,10,0,0,1,13,8,0,0,8,11,0,0,0,0,1,20
22,2,2,15,0,0,0,3,18,0,0,22,5,0,0,5,0,5,26
23,2,3,15,0,0,1,6,22,0,1,26,3,0,0,5,0,1,8
24,2,4,15,0,0,1,0,11,0,0,16,11,1,3,1,0,0,2
25,2,5,8,0,0,0,2,2,0,0,7,7,1,4,0,0,0,0
26,2,6,8,4,0,0,5,0,0,1,7,1,0,8,0,5,0,2
27,2,7,7,4,0,0,9,0,0,0,10,2,0,4,0,18,0,4
28,2,8,5,1,0,0,18,0,1,0,3,4,0,5,0,7,0,10
29,2,9,3,0,0,0,17,2,0,0,2,12,0,1,0,7,0,5
30,3,0,8,0,0,0,6,4,13,1,2,13,0,0,0,0,5,5
31,3,1,7,0,0,0,5,10,5,1,11,10,0,0,0,0,7,22
32,3,2,15,0,0,0,3,18,2,0,22,9,2,0,1,0,4,18
33,3,3,15,0,0,0,2,23,0,2,21,6,0,0,0,0,5,5
34,3,4,15,0,0,0,0,10,0,6,15,4,9,3,0,0,0,1
35,3,5,4,5,0,0,2,2,1,3,7,1,3,13,0,0,0,1
36,3,6,5,2,0,0,7,0,0,3,17,1,4,12,0,2,1,3
37,3,7,4,0,0,0,13,0,0,1,30,0,1,4,0,6,0,8
38,3,8,3,0,0,0,8,1,1,0,5,1,0,3,0,6,4,5
39,3,9,3,0,0,0,6,2,15,0,2,6,0,1,0,1,1,3
40,4,0,5,0,1,0,0,7,24,1,2,7,0,8,0,0,4,5
41,4,1,7,0,0,0,2,10,11,2,2,10,0,2,0,0,10,17
42,4,2,8,0,1,0,0,24,1,2,6,13,1,0,0,0,13,13
43,4,3,7,0,0,0,0,14,2,3,11,6,5,0,0,0,8,2
44,4,4,5,0,0,0,0,3,1,11,6,1,18,7,0,0,3,0
45,4,5,4,0,0,0,1,2,0,8,14,0,21,6,0,0,1,0
46,4,6,3,3,0,0,1,0,0,3,17,1,8,12,0,1,1,4
47,4,7,3,0,0,0,2,0,2,1,18,0,2,7,0,2,6,9
48,4,8,3,2,0,0,4,1,7,0,11,2,0,5,0,2,8,9
49,4,9,3,0,0,0,2,1,17,2,2,2,0,5,0,4,9,5
50,5,0,7,0,6,0,0,12,20,6,0,3,0,8,0,0,9,1
51,5,1,9,0,4,0,0,16,8,4,0,5,0,7,0,0,12,5
