,row,col,cost,specie 0,specie 1,specie 2,specie 3,specie 4,specie 5,specie 6,specie 7,specie 8,specie 9,specie 10,specie 11,specie 12,specie 13,specie 14
0,0,0,5,6,0,0,0,0,8,0,2,14,1,14,0,0,0,1
1,0,1,5,6,1,0,1,0,17,0,3,22,5,6,0,0,0,2
2,0,2,7,2,2,0,2,0,17,0,7,35,17,1,0,0,0,4
3,0,3,8,1,14,0,4,0,8,0,10,4,23,0,0,0,0,0
4,0,4,7,1,14,0,14,0,5,0,8,2,26,0,0,0,0,0
5,0,5,4,9,20,0,7,0,1,0,9,5,18,0,0,0,0,0
6,0,6,3,14,12,0,8,0,0,0,19,9,4,0,0,0,0,0
7,0,7,3,3,1,0,2,0,0,0,13,14,4,1,0,0,0,0
8,0,8,3,0,0,0,0,0,0,0,3,6,1,4,0,0,0,0
9,0,9,3,3,0,0,0,0,3,0,1,1,0,17,0,0,0,0
10,1,0,5,16,0,0,0,0,3,0,1,4,2,10,0,0,0,4
11,1,1,5,16,1,0,0,0,13,0,7,6,5,4,0,0,0,5
12,1,2,8,5,2,0,1,0,9,0,14,8,10,0,0,0,0,2
13,1,3,10,1,13,0,3,0,2,0,13,1,13,0,0,0,1,1
14,1,4,8,9,22,0,5,0,1,0,6,5,14,0,0,0,0,2
15,1,5,5,21,17,0,7,0,0,0,9,7,13,0,0,0,0,0
16,1,6,3,31,9,0,3,0,0,0,14,9,6,1,0,0,0,0
17,1,7,3,12,6,0,0,0,0,0,12,8,2,1,0,0,0,0
18,1,8,3,1,1,0,1,0,0,0,7,1,1,9,0,1,0,0
19,1,9,3,6,0,0,0,0,3,0,1,1,0,13,0,0,0,0
20,2,0,5,43,0,0,0,2,2,0,1,0,0,23,0,0,1,5
21,2,1,5,47,0,0,0,0,4,2,6,1,1,8,0,0,5,11
22,2,2,7,17,1,0,0,0,2,1,11,0,3,1,1,0,1,13
23,2,3,8,4,3,0,1,0,2,0,9,4,4,0,1,0,1,6
24,2,4,7,6,7,0,1,0,0,0,10,12,4,0,1,0,0,1
25,2,5,4,20,7,0,2,0,0,0,2,14,8,0,0,0,0,0
26,2,6,3,27,3,0,2,0,0,0,7,10,3,0,0,4,0,0
27,2,7,3,5,1,0,1,0,0,0,9,1,0,1,0,5,0,0
28,2,8,3,4,1,0,0,0,0,0,4,1,0,13,0,8,0,2
29,2,9,3,19,0,0,0,2,1,0,1,0,0,17,0,5,0,0
30,3,0,3,38,0,0,0,7,0,7,0,0,0,28,0,1,4,9
31,3,1,5,57,0,0,0,5,0,9,1,0,0,21,1,2,8,9
32,3,2,5,22,1,0,0,3,1,3,12,1,0,3,2,0,9,17
33,3,3,5,1,0,0,1,0,0,0,6,16,1,3,3,0,1,5
34,3,4,4,4,2,0,0,0,0,0,5,13,0,2,2,0,0,2
35,3,5,3,11,2,0,0,0,0,0,3,18,0,0,1,0,0,1
