,row,col,cost,specie 0,specie 1,specie 2,specie 3,specie 4,specie 5,specie 6,specie 7,specie 8,specie 9,specie 10,specie 11,specie 12,specie 13,specie 14
0,0,0,3,2,32,0,16,0,2,0,0,9,1,22,2,0,5,5
1,0,1,3,2,20,0,9,0,2,2,1,3,0,5,2,0,2,5
2,0,2,4,5,5,0,3,0,7,1,0,0,0,1,3,0,0,8
3,0,3,3,2,3,0,0,0,10,0,1,0,0,1,1,7,2,2
4,0,4,3,3,9,0,0,0,3,2,0,0,0,0,1,29,5,0
5,0,5,4,1,14,0,0,0,4,9,0,0,2,0,0,31,15,0
6,0,6,7,0,10,0,1,1,5,30,0,6,14,1,0,7,16,0
7,0,7,8,0,8,0,2,1,13,18,0,8,20,1,0,2,5,0
8,0,8,7,0,13,0,8,0,5,10,0,13,20,7,0,0,4,1
9,0,9,4,1,46,0,25,0,6,2,0,15,8,11,1,0,2,5
10,1,0,3,5,48,0,18,0,3,0,1,16,4,13,4,0,11,21
11,1,1,8,4,19,0,11,0,11,3,6,4,2,9,11,0,3,23
12,1,2,8,8,7,0,1,0,12,5,4,0,1,8,8,0,2,15
13,1,3,6,8,2,0,0,0,14,5,4,1,0,6,5,5,1,7
14,1,4,3,3,5,0,0,0,16,4,1,0,0,0,2,12,3,2
15,1,5,5,3,11,0,0,1,9,11,0,0,0,0,0,9,9,0
16,1,6,8,0,8,0,0,2,10,20,1,4,8,0,0,5,6,0
17,1,7,10,0,6,0,3,1,7,16,1,4,5,0,0,1,4,0
18,1,8,8,0,12,0,12,3,24,4,1,9,16,1,0,1,1,2
19,1,9,5,1,42,0,23,0,9,4,0,18,5,11,1,1,10,9
20,2,0,8,10,19,0,14,0,1,0,1,15,9,8,5,1,10,13
21,2,1,10,13,4,0,4,0,12,2,5,5,3,18,6,0,8,17
22,2,2,10,10,0,0,1,0,14,6,10,4,3,20,6,0,4,17
23,2,3,8,16,1,0,1,1,28,12,14,0,0,6,5,0,0,14
24,2,4,4,16,2,1,0,2,12,3,6,0,0,2,1,1,1,10
25,2,5,4,5,4,0,0,0,1,0,1,0,0,0,0,3,1,1
26,2,6,7,0,3,0,0,6,8,11,1,1,0,0,0,5,1,3
27,2,7,8,0,1,0,2,14,11,10,2,0,2,0,2,12,1,5
28,2,8,7,0,6,0,5,2,12,7,1,5,3,0,2,2,6,10
29,2,9,4,3,11,0,6,2,12,1,1,28,8,1,1,1,11,15
30,3,0,3,7,6,0,1,0,0,2,0,9,16,7,5,6,14,8
31,3,1,8,10,2,0,0,0,2,4,2,1,14,14,16,1,3,16
32,3,2,8,13,0,0,0,0,13,5,5,0,8,17,13,1,0,24
33,3,3,6,20,0,0,0,1,12,5,13,0,2,11,3,0,1,21
34,3,4,3,8,0,1,0,4,3,9,0,0,0,4,2,1,0,3
35,3,5,5,7,0,3,0,10,5,1,1,0,0,0,1,4,0,4
36,3,6,4,2,1,1,0,18,6,1,6,0,0,0,1,25,0,3
37,3,7,5,0,0,2,0,19,16,0,12,1,1,0,0,25,0,12
38,3,8,4,0,0,0,0,9,8,1,10,4,0,0,1,13,5,22
39,3,9,3,1,1,0,0,1,5,0,6,6,5,1,1,8,12,25
40,4,0,5,5,0,0,0,0,0,0,0,0,11,2,5,9,4,1
41,4,1,5,8,0,0,0,0,1,6,1,3,19,10,5,5,4,7
42,4,2,5,4,0,0,0,2,0,6,6,0,9,10,6,0,6,9
43,4,3,4,9,0,2,0,4,4,5,5,0,0,1,2,1,1,9
44,4,4,5,7,0,3,0,11,2,5,1,0,0,0,2,2,0,2
45,4,5,6,2,0,14,0,12,1,1,4,0,0,0,1,10,0,0
46,4,6,5,0,1,17,0,25,2,0,8,1,0,0,1,29,0,3
47,4,7,4,0,0,6,0,24,3,0,19,2,0,0,0,27,3,8
48,4,8,3,0,0,0,0,10,3,4,29,1,2,0,2,18,4,19
49,4,9,3,5,0,0,0,0,1,2,10,2,7,0,5,6,7,18
50,5,0,5,3,0,0,0,0,1,1,0,0,8,0,3,14,2,0
51,5,1,5,4,0,0,1,4,1,1,2,0,8,0,1,3,10,0
52,5,2,5,8,0,0,0,2,0,0,2,0,5,0,4,2,3,2
53,5,3,5,0,0,0,1,8,0,1,0,0,0,0,3,0,4,2
54,5,4,8,4,0,5,0,13,0,2,1,1,0,0,4,2,0,0
55,5,5,8,3,1,19,0,14,0,0,4,6,0,0,0,5,1,0
56,5,6,8,0,2,10,0,14,1,0,11,5,0,0,1,22,0,0
57,5,7,5,0,0,5,0,12,0,3,15,2,0,0,11,15,1,6
58,5,8,3,0,0,0,0,10,1,9,23,6,0,0,19,12,1,9
59,5,9,3,0,0,0,0,3,0,8,8,2,0,0,15,9,3,4
60,6,0,5,4,0,0,0,0,0,0,0,0,3,1,0,1,9,0
61,6,1,5,4,0,0,0,3,0,0,0,0,1,1,1,4,12,0
62,6,2,5,5,0,0,1,8,1,0,0,1,0,0,1,1,11,0
63,6,3,6,6,0,0,1,8,3,1,0,1,0,0,5,0,8,0
64,6,4,8,0,5,1,5,16,0,0,0,3,0,0,9,6,2,0
65,6,5,10,0,8,4,0,8,0,0,1,7,0,0,5,22,0,0
66,6,6,8,0,2,7,0,5,0,0,7,22,0,0,3,13,0,0
67,6,7,6,0,1,2,0,8,0,10,5,13,0,0,11,10,0,1
68,6,8,3,0,0,1,0,2,0,17,9,7,1,0,39,4,2,8
69,6,9,3,1,0,0,0,3,0,11,3,1,0,0,39,4,3,0
70,7,0,5,8,0,0,1,0,0,0,0,0,0,1,0,2,11,0
71,7,1,5,12,1,0,0,0,0,0,0,0,0,2,0,0,16,0
72,7,2,5,18,0,0,6,3,2,0,0,0,0,0,2,0,12,0
73,7,3,5,7,1,0,17,7,7,0,0,0,0,0,4,1,5,0
74,7,4,8,7,8,2,16,3,11,0,0,2,0,0,13,9,1,0
75,7,5,8,3,8,2,6,3,4,0,0,9,0,0,12,14,2,0
76,7,6,8,0,8,9,5,6,0,2,1,14,0,0,9,22,1,0
77,7,7,5,0,3,7,0,5,0,7,0,10,2,0,17,6,0,1
78,7,8,3,0,0,2,0,6,0,18,0,4,1,0,36,1,0,0
79,7,9,3,6,0,2,0,13,0,13,1,2,0,2,18,0,4,0
80,8,0,3,7,1,0,4,0,0,0,0,0,0,2,0,1,9,0
81,8,1,5,15,2,0,4,0,2,0,0,0,0,5,0,0,13,0
82,8,2,3,14,1,0,8,0,13,0,0,0,0,0,0,1,7,0
83,8,3,4,9,2,0,26,0,28,0,0,0,0,0,5,3,6,0
84,8,4,10,6,6,3,40,0,21,0,0,0,0,0,11,13,5,0
85,8,5,10,15,11,9,29,1,4,0,0,4,0,0,12,15,5,0
86,8,6,5,6,12,11,8,1,2,1,0,5,6,0,4,15,5,0
87,8,7,4,0,4,16,1,13,1,8,1,8,7,1,6,5,4,0
88,8,8,3,0,3,8,1,16,1,6,0,14,10,2,12,0,3,0
89,8,9,3,1,0,2,0,16,0,10,1,2,1,6,17,0,8,0
90,9,0,3,4,18,0,10,0,0,0,0,0,0,18,0,0,12,3
91,9,1,3,5,3,0,4,0,2,0,0,0,0,6,1,0,15,2
92,9,2,3,6,2,0,15,0,9,0,0,0,0,0,0,1,13,2
93,9,3,3,6,2,0,25,0,32,2,0,1,0,1,2,8,2,0
94,9,4,10,21,4,2,37,0,24,0,0,1,0,0,8,25,8,0
95,9,5,10,19,8,5,31,0,11,4,0,2,4,0,11,23,16,0
96,9,6,3,4,14,18,11,4,3,10,0,7,15,0,6,10,17,0
97,9,7,3,1,5,12,3,7,3,13,0,14,10,1,2,0,9,0
98,9,8,3,0,11,7,4,15,1,6,0,11,19,6,1,0,5,0
99,9,9,3,3,8,1,8,20,2,2,0,5,18,16,1,0,9,0
