,row,col,cost,specie 0,specie 1,specie 2,specie 3,specie 4,specie 5,specie 6,specie 7,specie 8,specie 9,specie 10,specie 11,specie 12,specie 13,specie 14
0,0,0,10,0,22,7,16,0,0,7,13,0,0,0,2,17,0,0
1,0,1,11,0,42,4,9,0,0,16,7,0,0,0,5,17,1,0
2,0,2,15,0,27,2,6,0,0,12,2,0,0,0,24,4,4,2
3,0,3,15,1,13,0,1,1,0,14,0,0,0,0,21,1,10,5
4,0,4,15,0,1,0,0,6,0,20,3,0,0,0,5,0,9,22
5,0,5,12,0,0,0,0,6,0,18,4,0,0,0,2,0,3,13
6,0,6,12,0,0,2,1,10,0,16,9,0,0,0,0,0,1,4
7,0,7,10,0,0,4,9,4,0,23,10,0,0,0,0,0,2,2
8,0,8,8,0,3,12,3,3,0,19,2,0,0,0,0,0,0,0
9,0,9,6,0,9,22,9,0,0,8,5,0,0,0,0,5,0,0
10,1,0,11,0,17,4,13,0,0,4,2,0,0,0,1,8,0,0
11,1,1,12,0,20,0,23,0,0,8,5,0,0,0,5,5,4,0
12,1,2,15,2,8,0,10,0,0,4,1,0,1,0,5,1,9,1
13,1,3,15,7,4,0,2,2,0,3,0,0,3,0,14,0,25,2
14,1,4,15,6,2,0,0,14,0,14,5,0,3,0,11,0,20,4
15,1,5,10,3,0,0,0,20,1,17,8,0,0,0,5,0,22,9
16,1,6,10,0,0,0,3,14,0,26,21,0,0,0,4,0,7,4
17,1,7,11,0,2,2,11,11,2,33,21,0,0,0,1,0,5,0
18,1,8,10,0,4,8,15,2,1,30,8,0,0,0,2,1,1,0
19,1,9,8,0,8,10,12,1,4,18,6,0,0,0,3,5,0,0
20,2,0,10,0,2,2,6,0,0,0,1,0,0,0,3,0,0,0
21,2,1,11,2,10,3,5,0,0,2,0,0,0,0,6,1,2,0
22,2,2,15,7,5,0,4,0,0,3,0,0,5,0,3,1,11,0
23,2,3,15,19,1,0,0,3,0,3,1,0,2,0,9,3,19,1
24,2,4,15,17,1,0,0,12,0,4,1,0,5,0,10,0,26,0
25,2,5,10,6,0,0,2,20,0,4,9,0,4,0,8,1,36,1
26,2,6,11,0,0,0,2,18,2,10,18,0,1,0,5,0,27,0
27,2,7,12,0,0,1,10,8,6,12,15,0,0,0,1,0,10,0
28,2,8,11,0,0,2,11,2,11,11,8,0,0,0,2,0,10,0
29,2,9,9,0,6,4,14,0,4,3,1,0,0,0,3,1,3,0
30,3,0,8,0,0,3,0,0,3,0,0,1,0,0,12,1,0,0
